Name,RA,Dec,Period (day),a (AU),T transit/inf conj (JD),KPIC obs status,Eccentric?,Kp max (km/s),Transiting?,Kmag (<9),e,omega,inc,Mpl,Rpl,Teq,Tstar,Rstar
WASP-94,20:55:09,-34:08:09,2.00839,0.0335,2456574.359,Not detected,No,129,N,9.2,0,0,45,0.618,1.2,1950,6050,1.43
HD179949,19:15:33,-24:10:45,3.0925,0.045,2453197.175,2024A (Luke),No,143,Y,4.9,0,0,66.2,0.96,1.2,1566,6150,1.25
HD202772,21:18:48,-26:36:59,3.3088922,0.0519,2460175.035,2024A (Luke),No,171.1,Y,8.2,0,0,84.5,1.01,1.55,2112,6300,2.5
WASP-69,21:00:06,-5:05:42,3.868149218,0.0452,2459798.775,2024A (Luke),No,127.5,Y,7.5,0,0,86.7,0.26,1.05,961,4700,0.81
BD-10 3166,10:58:29,-10:46:14,3.487905,0.045,2451705.963,2024B (Luke),No,140.7,N,8.1,0,0,0,0.45,0.8,1164,5300,0.93
HD 2638,0:30:00,-5:45:54,3.458,0.044,2457948.482,No data,Yes,138.8,N,7.3,0.187,37.28,0,0.5,1,1123,5200,0.88
WASP-189,15:02:45,-3:01:53,2.7240308,0.05053,2456706.457,KPIC detected,No,202.3,Y,6,0,0,0,2,1.6,3350,8000,2.36
WASP-74,20:18:09,-1:04:32,2.1377516,0.03443,2457205.938,KPIC detected,No,175.7,Y,8.2,0,0,0,0.8,1.4,1910,5900,1.6
WASP-127,10:42:14,-3:50:06,4.1779929,0.0484,2460261.127,2024B (Luke),No,126.4,Y,8.6,0,0,88.2,0.18,1.4,1480,5800,1.35
KELT-11,10:46:50,-9:23:58,4.73592319,0.0625,2459988.884,2024B (Luke),No,144,Y,6.1,0,0,85.3,0.18,1.2,1714,5300,2.8
WASP-80,20:12:40,-2:08:40,3.06781599,0.0344,2459770.027,2024B (Luke L),No,122.3,Y,8.4,0,0,89.02,0.53,1.05,827,4100,0.6
WASP-76,01:46:32,+2:42:01,1.809881077104,0.033,2459448.895243,No data,No,199,Y,8.2,0,0,0,0.92,1.83,2160,6300,1.8
WASP-77,02:28:37,-7:03:38,1.36002827981971,0.024,2459168.520849,No data,No,192,Y,8.4,0,0,0,1.7,1.2,1600,5500,0.93
WASP-121,07:10:24,-39:05:50,1.2749246,0.025,2459986.21062,No data,No,214,Y,9.3,0,0,0,1.18,1.9,2473,6400,1.6
WASP-18,01:37:25,-45:40:40,0.9414525,0.02,2460205.353322,No data,No,231,Y,8.1,0,0,0,10.3,1.4,2251,6400,1.35
WASP-17,15:59:51,-28:03:42,3.7354838,0.051,2459355.54563,No data,No,149,Y,10.2,0,0,0,0.49,1.9,1670,6500,1.6
