Name,RA,Dec,Period (day),a (AU),T transit/inf conj (JD),Obs status,Eccentric?,Kp max (km/s),Transiting?,Kmag (<9),e,omega,inc,Mpl,Rpl,Teq,Tstar,Rstar,
WASP-76,01:46:31.9,+02:42:02.0,2459448.895243,0.033,1.809881077104,IGRINS,No,198,Y,8.5,0,0,0,0.91,1.85,2200,6300,1.8,
WASP-77,02:28:37.2,-07:03:38.4,1.36002827981971,0.02335,2459168.520849,IGRINS,No,186.8,Y,8.8,0,0,0,1.66,1.21,1700,5500,0.93,
WASP-121,07:10:24.1,-39:05:50.6,1.2749246,0.02596,2459986.21062,IGRINS,No,222.4,Y,9.6,0,0,0,1.16,1.75,2500,6400,1.6,
MASCARA-1,21:10:12.4,+10:44:20.0,2.1425095,0.043,2460556.771408,IGRINS,No,219,Y,7.8,0,0,0,3.7,1.6,2600,7500,2,Luke Kevin
WASP-122,07:13:12.30,-42:24:35.10,1.7100122,0.02956,2459987.847958,IGRINS,No,187.7,Y,9.8,0,0,0,1.2,1.5,1900,5900,1.5,
WASP-87,12:21:17.90,-52:50:26.90,1.68279170176108,0.0295,2458569.66758,IGRINS,No,191,Y,9.8,0,0,0,2.18,1.39,2000,6500,1.55,
WASP-103,16:37:15.60,07:11:00.20,0.925545386,0.0198,2457308.324538,IGRINS,No,232.6,Y,11.1,0,0,0,1.49,1.53,2500,6100,1.43,
WASP-19,09:53:40.00,-45:39:32.80,0.788838926489372,0.0165,2459304.062715,IGRINS,No,227.8,Y,10.9,0,0,0,1.15,1.4,2100,5600,1,
MASCARA-4,09:50:12.20,-66:06:50.10,2.8240691,0.0474,2459358.688506,IGRINS,No,182.9,Y,7.8,0,0,0,1.68,1.52,2200,8000,1.83,
WASP-82,04:50:38.50,01:53:37.80,2.70582,0.0448,2458438.96587,IGRINS,No,180.5,Y,9,0,0,0,1.62,1.62,2200,6500,2.2,
WASP-18,01:37:25,-45:40:40,0.9414525,0.02,2460205.353322,No data,No,231,Y,8.1,0,0,0,10.3,1.4,2251,6400,1.35,
WASP-17,15:59:51,-28:03:42,3.7354838,0.051,2459355.54563,No data,No,149,Y,10.2,0,0,0,0.49,1.9,1670,6500,1.6,
WASP-178,15:09:05,-42:42:18,3.3448404,0.055,2459358.767146,No data,No,179,Y,9.7,0,0,0,]1.4,1.9,2400,8600,1.8,
TOI-2109 ,16:52:45,16:34:48,0.67247414,0.01791,2459378.459,2024A (Julie),No,290.5,Y,9.1,0,0,70.74,5.02,1.35,3058.992534,6500,1.7,Julie
HD209458,22:03:11,18:53:03,3.524740459,0.046,2459826.781,2024A (Luke) 2024B (Luke L),No,142.4,Y,6.3,0,0,0,0.68,1.4,1480.150428,6050,1.18,Luke
TOI-628,6:37:03,1:46:03,3.4095675,0.0486,2458629.48,2024B (Julie),No,155.5,Y,8.8,0,0,88.41,6.33,1.08,1595.884625,6200,1.38,Luke Julie
tau Boo,13:47:15,17:26:43,3.3124534,0.04869,2453104.828,2024B (Luke),No,110,Y,3.4,0,0,44.5,5.2,1,1675.392234,6400,1.43,Luke
WASP-94,20:55:09,-34:08:09,2.00839,0.0335,2456574.359,Not detected,No,129,N,9.2,0,0,45,0.618,1.2,1950,6050,1.43,
HD179949,19:15:33,-24:10:45,3.0925,0.045,2453197.175,No data,No,143,Y,4.9,0,0,66.2,0.96,1.2,1566,6150,1.25,
HD202772,21:18:48,-26:36:59,3.3088922,0.0519,2460175.035,KPIC det,No,171.1,Y,8.2,0,0,84.5,1.01,1.55,2112,6300,2.5,
HD 2638,0:30:00,-5:45:54,3.458,0.044,2457948.482,No data,Yes,138.8,N,7.3,0.187,37.28,0,0.5,1,1123,5200,0.88,
WASP-189,15:02:45,-3:01:53,2.7240308,0.05053,2456706.457,KPIC det,No,202.3,Y,6,0,0,0,2,1.6,3350,8000,2.36,
WASP-74,20:18:09,-1:04:32,2.1377516,0.03443,2457205.938,KPIC det,No,175.7,Y,8.2,0,0,0,0.8,1.4,1910,5900,1.6,
KELT-11,10:46:50,-9:23:58,4.73592319,0.0625,2459988.884,KPIC,No,144,Y,6.1,0,0,85.3,0.18,1.2,1714,5300,2.8,
